stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"2000110","2000110","Central Grand Concourse, Light Rail Trackwork","-33.88222655","151.20634156","","200060","1","Level 1",""
"2000112","2000112","Central Station, Forecourt, Coach Bay 5","-33.88285863","151.20471982","","200060","2","Level 1",""
"2000115","2000115","Central Station, Forecourt, Coach Bay 7","-33.88249198","151.20516632","","200060","2","Level 1",""
"2000124","2000124","Central Station, Forecourt, Coach Bay 9","-33.88214369","151.20560291","","200060","2","Level 1",""
"2000132","2000132","Central Station, Forecourt, Coach Bay 8","-33.88226615","151.20544689","","200060","2","Level 1",""
"2000136","2000136","QVB, York St, Stand E","-33.87011919","151.20628659","","2000171","0","Level 0",""
"2000142","2000142","Wynyard Station, Clarence St, Stand R","-33.86549330","151.20481725","","200080","1","Level 0",""
"2000171","","QVB","-33.87169231","151.20665553","1","","0","",""
"2000190","2000190","Central Station, Eddy Av","-33.88266011","151.20762679","","200060","2","Level 0",""
"200021","200021","Wynyard Station, Carrington St, Stand A","-33.86532330","151.20636417","","200080","1","Level 0",""
"2000213","2000213","Central Station, Forecourt, Coach Bay 1","-33.88292461","151.20542524","","200060","2","Level 1",""
"2000221","2000221","Wynyard Station, Clarence St, Stand Q","-33.86462266","151.20472049","","200080","1","Level 0",""
"200023","200023","Wynyard Station, Carrington St, Stand B","-33.86584794","151.20630354","","200080","1","Level 0",""
"2000230","2000230","Wynyard Station, Clarence St, Stand S","-33.86599591","151.20487434","","200080","0","Level 0",""
"200024","200024","Wynyard Station, Carrington St, Stand C","-33.86612825","151.20627411","","200080","1","Level 0",""
"2000240","2000240","Central Station, Forecourt, Coach Bay 3","-33.88326612","151.20492349","","200060","2","Level 1",""
"2000241","2000241","Central Station, Forecourt, Coach Bay 10","-33.88218055","151.20584238","","200060","2","Level 1",""
"200025","200025","Wynyard Station, Carrington St, Stand D","-33.86643555","151.20624601","","200080","1","Level 0",""
"2000257","2000257","Central Grand Concourse Light Rail","-33.88242199","151.20668605","","200060","1","Level 1",""
